"","Date","X","Y","TP","Flow"
"177",1999-10-05 12:00:00,3178.04166666667,1,0.01,17.3
"178",1999-10-24 10:55:00,3196.99652777778,1,0.11,1253.3
"179",1999-10-26 12:00:00,3199.04166666667,1,0.07,1278.4
"180",1999-11-08 12:00:00,3212,1,0.03,33.05
"181",1999-12-02 12:00:00,3236,1,0.01,4.47
"182",1999-12-28 12:00:00,3262,1,0.03,7.08
"183",1999-12-31 12:00:00,3265,1,0.03,86.6
"184",2000-01-06 12:00:00,3271,1,0.01,18.41
"185",2000-01-25 12:00:00,3290,1,0.01,1.43
"186",2000-02-23 12:00:00,3319,1,0.01,0
"187",2000-03-09 12:00:00,3334,1,0.06,0.36
"188",2000-03-14 12:00:00,3339,1,0.03,17.76
"189",2000-03-20 12:00:00,3345,1,0.1,84.31
"190",2000-03-23 12:00:00,3348,1,0.04,150.84
"191",2000-03-28 12:00:00,3353.04166666667,1,0.02,34.96
"192",2000-04-06 12:00:00,3362.04166666667,1,0.01,74.98
"193",2000-04-18 12:00:00,3374.04166666667,1,0.01,7.52
"194",2000-05-17 12:00:00,3403.04166666667,1,0.01,5.24
"195",2000-06-16 12:00:00,3433.04166666667,1,0,3.64
"196",2000-07-02 12:00:00,3449.04166666667,1,0.01,45.42
"197",2000-07-17 14:30:00,3464.14583333333,1,0.01,11.4
"198",2000-08-09 13:30:00,3487.10416666667,1,0.01,8.73
"199",2000-09-06 12:00:00,3515,1,0.01,12.24
"200",2000-10-05 12:00:00,3544,1,0.01,5.36
"201",2000-10-24 15:10:00,3563.13194444444,1,0.02,26.96
"202",2000-11-03 12:00:00,3573,1,0.01,7.63
"203",2000-11-15 08:45:00,3584.86458333333,1,0.04,15.67
"204",2000-11-17 14:55:00,3587.12152777778,1,0.07,263.98
"205",2000-11-21 14:25:00,3591.10069444444,1,0.03,113.69
"206",2000-11-24 09:30:00,3593.89583333333,1,0.02,54.3
"207",2000-11-30 16:00:00,3600.16666666667,1,0.02,16.66
"208",2000-12-29 10:20:00,3628.93055555556,1,0.01,1.28
"209",2001-01-25 12:00:00,3656,1,0.01,0
"210",2001-02-06 12:00:00,3668,1,0.03,175.21
"211",2001-02-09 11:00:00,3670.95833333333,1,0.02,108.64
"212",2001-02-12 13:00:00,3674.04166666667,1,0.02,34.07
"213",2001-02-23 13:00:00,3685.04166666667,1,0.01,9.25
"214",2001-03-20 10:20:00,3709.93055555556,1,0.01,5.67
"215",2001-04-23 11:30:00,3744.02083333333,1,0.01,2.49
"216",2001-05-15 09:15:00,3765.92708333333,1,0.01,6.91
"217",2001-06-14 12:00:00,3796.04166666667,1,0,3.16
"218",2001-07-13 12:00:00,3825.04166666667,1,0,6.97
"219",2001-08-08 12:00:00,3851.04166666667,1,0.01,10.62
"220",2001-09-02 12:00:00,3876.04166666667,1,0.06,75.31
"221",2001-09-03 10:15:00,3876.96875,1,0.03,53.51
"222",2001-09-06 12:00:00,3880.04166666667,1,0.03,29.27
"223",2001-09-20 12:00:00,3894.04166666667,1,0.03,24.89
"224",2001-09-21 12:00:00,3895.04166666667,1,0.02,21.52
"225",2001-10-09 10:00:00,3912.95833333333,1,0.01,13.71
"226",2001-11-14 12:00:00,3949,1,0.01,4.13
"227",2001-11-27 12:00:00,3962,1,0.01,1.61
"228",2002-02-06 12:00:00,4033,1,0.2,131.51
"229",2002-02-10 12:00:00,4037,1,0.04,28.06
"230",2002-02-15 12:00:00,4042,1,0.02,14.29
